"","V1","V2","V3"
"1",26.52,0.138410182867051,0
"2",17.734,0.0672240992359609,0
"3",11.787,0.0190402113058344,0
"4",8.524,-0.00739732464775609,0
"5",9.474,0.000299782050347172,0
"6",15.652,0.0503552822407493,0
"7",16.651,0.0584493976001231,0
"8",50.735,0.334605381492915,1
"9",30.129,0.167651086102266,0
"10",30.618,0.171613070497395,0
"11",16.461,0.0569099762605025,0
"12",12.173,0.0221676672905374,0
"13",13.868,0.035900926083469,0
"14",39.695,0.245156899443378,0
"15",99.977,0.733574779417127,1
"16",12.165,0.0221028495499218,0
"17",47.858,0.311295301524027,1
"18",25.511,0.130235045331907,0
"19",30.052,0.167027215348841,0
"20",49.711,0.326308710694117,1
"21",43.558,0.276455765943139,1
"22",17.561,0.0658224155951484,0
"23",25.417,0.129473436879674,0
"24",58.166,0.394812960307236,1
"25",38.795,0.237864903624122,0
"26",54.059,0.361537152718699,1
"27",40.33,0.250301807604741,0
"28",30.984,0.174578482130559,0
"29",79.977,0.57153042787811,1
"30",44.591,0.284825356700129,1
"31",36.351,0.218063083866054,0
"32",16.646,0.0584088865122384,0
"33",27.534,0.146625831490079,0
"34",39.959,0.247295884883693,0
"35",14.904,0.0442948234931901,0
"36",14.96,0.0447485476774993,0
"37",14.814,0.0435656239112645,0
"38",10.327,0.0072109736434862,0
"39",24.694,0.123615533571539,0
"40",36.575,0.219877980603291,0
"41",44.74,0.286032587119095,1
"42",22.127,0.102817141051506,0
"43",25.504,0.130178329808869,0
"44",22.011,0.10187728381258,0
"45",15.808,0.0516192281827536,0
"46",35.972,0.21499234340439,0
"47",30.315,0.169158098571579,0
"48",30.411,0.169935911458966,0
"49",34.028,0.199241632434797,0
"50",52.726,0.350736896688624,1
"51",34.851,0.205909757500628,0
"52",31.772,0.180963029581196,0
"53",24.836,0.124766048467466,0
"54",44.526,0.284298712557627,1
"55",19.23,0.0793450167310793,0
"56",26.003,0.134221336379767,0
"57",11.372,0.0156777910113998,0
"58",15.375,0.0481109679719339,0
"59",20.068,0.0861346750605641,0
"60",66.724,0.464151738330781,1
"61",11.925,0.0201583173314536,0
"62",25.523,0.130332271942831,0
"63",31.689,0.180290545522309,0
"64",33.486,0.19485023050809,0
"65",45.908,0.295495977248973,1
"66",26.392,0.137373099017201,0
"67",33.757,0.197045931471444,0
"68",51.977,0.344668335723488,1
"69",117.631,0.876611328520616,1
"70",48.188,0.313969033324421,1
"71",34.297,0.201421128962997,0
"72",32.325,0.18544355590125,0
"73",39.991,0.247555155846155,0
"74",49.106,0.321406869060062,1
"75",26.592,0.138993542532591,0
"76",24.986,0.125981381104008,0
"77",22.615,0.106771023229058,0
"78",25.545,0.130510520729524,0
"79",30.733,0.172544825518745,0
"80",19.406,0.0807710070246226,0
"81",27.416,0.145669769815999,0
"82",33.284,0.193213582557546,0
"83",24.118,0.118948656247215,0
"84",19.606,0.0823914505400128,0
"85",10.751,0.0106463138961133,0
"86",6.929,-0.0203203616829927,0
"87",9.348,-0.00072109736434864,0
"88",9.39,-0.000380804226116693,0
"89",8.692,-0.00603615209482836,0
"90",9.443,4.86133054617067e-05,0
"91",8.429,-0.00816703531756644,0
"92",7.932,-0.012193837453311,0
"93",6.496,-0.0238286218938124,0
"94",9.579,0.00115051489592701,0
"95",8.837,-0.0048613305461705,0
"96",14.695,0.0426014600196074,0
"97",9.663,0.00183110117239088,0
"98",24.601,0.122862027336882,0
"99",53.261,0.355071583092292,1
"100",28.981,0.158349740323927,0
"101",21.428,0.0971536909652172,0
"102",11.545,0.0170794746522123,0
"103",10.775,0.0108407671179602,0
"104",8.974,-0.00375132673812823,0
"105",11.836,0.019437219967105,0
"106",11.241,0.0146164005088193,0
"107",7.763,-0.0135631122238157,0
"108",13.532,0.0331785809776136,0
"109",9.764,0.0026494251476629,0
"110",14.025,0.0371729742430503,0
"111",7.027,-0.0195263443604515,0
"112",5.581,-0.0312421509767223,0
"113",7.548,-0.0153050890028601,0
"114",11.509,0.0167877948194421,0
"115",8.691,-0.00604425431240532,0
"116",9.403,-0.000275475397616348,0
"117",11.67,0.0180922518493311,0
"118",13.349,0.0316958751610316,0
"119",42.529,0.268118584056456,1
"120",0,NA,NA
"121",132.86,NA,NA
"122",9.437,NA,NA
